CustomerID,Age,Annual Income (k$),Spending Score (1-100)
1,18,15,1
2,19,16,8
3,20,17,15
4,21,18,22
5,22,19,29
6,23,20,36
7,24,21,43
8,25,22,50
9,26,23,57
10,27,24,64
11,28,25,71
12,29,26,78
13,30,27,85
14,31,28,92
15,32,29,99
16,33,30,6
17,34,31,13
18,35,32,20
19,36,33,27
20,37,34,34
21,38,35,41
22,39,36,48
23,40,37,55
24,41,38,62
25,42,39,69
26,43,40,76
27,44,41,83
28,45,42,90
29,46,43,97
30,47,44,4
31,48,45,11
32,49,46,18
33,50,47,25
34,51,48,32
35,52,49,39
36,53,50,46
37,54,51,53
38,55,52,60
39,56,53,67
40,57,54,74
41,58,55,81
42,59,56,88
43,60,57,95
44,61,58,2
45,62,59,9
46,63,60,16
47,64,61,23
48,65,62,30
49,66,63,37
50,67,64,44
51,68,65,51
52,69,66,58
53,70,67,65
54,71,68,72
55,72,69,79
56,73,70,86
57,74,71,93
58,75,72,100
59,76,73,7
60,77,74,14
61,18,75,21
62,19,76,28
63,20,77,35
64,21,78,42
65,22,79,49
66,23,80,56
67,24,81,63
68,25,82,70
69,26,83,77
70,27,84,84
71,28,85,91
72,29,86,98
73,30,87,5
74,31,88,12
75,32,89,19
76,33,90,26
77,34,91,33
78,35,92,40
79,36,93,47
80,37,94,54
81,38,95,61
82,39,96,68
83,40,97,75
84,41,98,82
85,42,99,89
86,43,100,96
87,44,101,3
88,45,102,10
89,46,103,17
90,47,104,24
91,48,105,31
92,49,106,38
93,50,107,45
94,51,108,52
95,52,109,59
96,53,110,66
97,54,111,73
98,55,112,80
99,56,113,87
100,57,114,94
101,58,15,1
102,59,16,8
103,60,17,15
104,61,18,22
105,62,19,29
106,63,20,36
107,64,21,43
108,65,22,50
109,66,23,57
110,67,24,64
111,68,25,71
112,69,26,78
113,70,27,85
114,71,28,92
115,72,29,99
116,73,30,6
117,74,31,13
118,75,32,20
119,76,33,27
120,77,34,34
121,18,35,41
122,19,36,48
123,20,37,55
124,21,38,62
125,22,39,69
126,23,40,76
127,24,41,83
128,25,42,90
129,26,43,97
130,27,44,4
131,28,45,11
132,29,46,18
133,30,47,25
134,31,48,32
135,32,49,39
136,33,50,46
137,34,51,53
138,35,52,60
139,36,53,67
140,37,54,74
141,38,55,81
142,39,56,88
143,40,57,95
144,41,58,2
145,42,59,9
146,43,60,16
147,44,61,23
148,45,62,30
149,46,63,37
150,47,64,44
151,48,65,51
152,49,66,58
153,50,67,65
154,51,68,72
155,52,69,79
156,53,70,86
157,54,71,93
158,55,72,100
159,56,73,7
160,57,74,14
161,58,75,21
162,59,76,28
163,60,77,35
164,61,78,42
165,62,79,49
166,63,80,56
167,64,81,63
168,65,82,70
169,66,83,77
170,67,84,84
171,68,85,91
172,69,86,98
173,70,87,5
174,71,88,12
175,72,89,19
176,73,90,26
177,74,91,33
178,75,92,40
179,76,93,47
180,77,94,54
181,18,95,61
182,19,96,68
183,20,97,75
184,21,98,82
185,22,99,89
186,23,100,96
187,24,101,3
188,25,102,10
189,26,103,17
190,27,104,24
191,28,105,31
192,29,106,38
193,30,107,45
194,31,108,52
195,32,109,59
196,33,110,66
197,34,111,73
198,35,112,80
199,36,113,87
200,37,114,94
